hospital_name,state,total_spending_per_beneficiary,readmission_rate,mortality_rate,patient_experience_score
Hospital 64,SC,12137.3,20.02,3.05,78.75
Hospital 65,AR,12605.04,16.63,2.5,74.02
Hospital 66,AK,8173.8,14.98,1,74.84
Hospital 67,CO,7331.62,16.78,2.96,63.92
Hospital 68,TN,10088.02,12.19,2.76,88.82
Hospital 69,AR,14290.43,12.77,1.92,59.87
Hospital 70,NH,14725.91,10.74,2.19,67.41
Hospital 71,LA,16264.56,16.23,2.97,98.12
Hospital 72,MT,11919.17,14.47,2.29,79.36
Hospital 73,UT,14070.38,11.71,3.69,79.78
Hospital 74,ND,14524.74,14.34,2.1,84.37
Hospital 75,GA,10757.85,16.88,3.19,62.6
Hospital 76,OK,12969.61,22.66,4.42,64.06
Hospital 77,IN,13646.76,19.05,2.96,73.55
Hospital 78,NM,9727.11,5.86,3.43,68.97
Hospital 79,WV,16105.24,15.96,3.35,77.25
Hospital 80,IA,11902.97,20.72,3.01,82.86
Hospital 81,DE,12217.59,9.65,2.92,91.89
Hospital 82,IN,9631.65,17.21,2.31,86.11
Hospital 83,MN,10051.43,14.05,3.18,68.06
Hospital 84,SC,7000,19.6,2.66,74.25
Hospital 85,MA,12137.89,16.62,4.86,71.53
Hospital 86,KS,18264.22,11.46,3.97,67.83
Hospital 87,VT,9453.45,14.2,1.26,65.56
Hospital 88,LA,19440.49,14.43,1.32,94.64
Hospital 89,WA,15535.63,14.51,2.84,78.11
Hospital 90,MS,10816.03,19.48,2.53,75.76
Hospital 91,MT,12068.16,11.63,2.78,82.84
Hospital 92,MO,11662.25,19.01,3.78,83.34
Hospital 93,VT,16265.41,13.79,3.38,89.19
Hospital 94,SD,13292.54,15.89,3.37,70.56
Hospital 95,NH,14954.94,15.29,4.74,82.03
Hospital 96,IA,12895.43,14.91,1.33,68.89
Hospital 97,VT,11720.07,14.95,3.12,76.1
Hospital 98,AL,12816.06,20.83,2.31,78.57
Hospital 99,MO,10982.64,18.37,4.72,79.54
Hospital 100,CT,8369.49,13.55,1,79.1
Hospital 101,FL,14034.22,21.33,1,86.02
Hospital 102,MS,8247.09,16.1,3.37,72.03
Hospital 103,AL,11327.91,16.43,4.35,79.82
Hospital 104,UT,10900.34,11.65,3.93,70.41
Hospital 105,DE,13608.38,13.01,2.04,100
Hospital 106,MS,15911.76,12.25,4.81,68.87
Hospital 107,HI,15012.43,15.34,1.52,70.99
Hospital 108,KY,13681.06,17.56,4.57,86.83
Hospital 109,DE,10425.32,16.47,1.68,73.71
Hospital 110,OH,11541.33,21.35,2.58,86.83
Hospital 111,OH,11176.82,11.45,3.77,79.53
Hospital 112,NC,10824.3,15.46,1.24,73.97
Hospital 113,CA,10993.87,9.87,4.76,70.47
Hospital 114,TN,10927.15,11.31,2.57,70.11
Hospital 115,RI,10816.43,20.06,3.16,74.08
Hospital 116,SD,14379.71,13.15,4.39,76.26
Hospital 117,NV,9363.41,11.79,2.05,69.68
Hospital 118,CT,10176.31,6.48,4.27,76.91
Hospital 119,FL,8041.48,11.75,4.97,67.06
Hospital 120,DE,15538.71,14.18,2.21,85.56
Hospital 121,ID,10008.74,9.57,4.64,87.47
Hospital 122,ND,13651.94,13.95,1,70.96
Hospital 123,NC,13188.3,20.08,3.47,70.4
Hospital 124,WV,15297.1,12.17,1.53,79.78
Hospital 125,MN,11474.96,11.23,4.13,90.65
Hospital 126,MS,9631.15,10.5,4.03,92.87
Hospital 127,OR,8110.63,10.43,5.49,63.97
Hospital 128,OH,7000,17.14,4.71,88.06
Hospital 129,UT,12403.38,15.19,2.8,77.38
Hospital 130,SC,13938.68,18.83,1.7,77.58
Hospital 131,MI,13179.22,23.08,3.68,83.05
Hospital 132,NE,8175.59,7.68,2.93,73.19
Hospital 133,OH,14597.07,16.52,4.86,88.97
Hospital 134,AL,10254.46,10.53,1,92.24
Hospital 135,OH,9732.74,18.16,5.63,92.61
Hospital 136,OR,10198.42,13.91,3.64,59.56
Hospital 137,WA,12196.02,15.11,2.02,75.7
Hospital 138,IN,8288.25,9.87,3.88,58.65
Hospital 139,AZ,11907.41,13.29,4.56,70.35
Hospital 140,AL,13073.62,15.36,3.14,54.03
Hospital 141,CA,14768.31,20.42,1,82.5
Hospital 142,MT,12439.89,11.82,2.65,80.19
Hospital 143,IN,8650.93,12.8,4.25,73.67
Hospital 144,RI,12372.23,18.78,3.6,70.09
Hospital 145,NE,9349.35,11.56,2.81,81.14
Hospital 146,FL,9205.14,19.57,4.57,67.89
Hospital 147,IA,8593.24,14.96,3.89,67.21
Hospital 148,IA,7221.87,16.21,3.98,65.98
Hospital 149,MT,10582.09,16.47,2.51,75.96
Hospital 150,TN,14822.22,12.54,2.39,72.18
Hospital 151,IL,17641.21,16.56,1,74.16
Hospital 152,NY,10566.04,11.91,2.69,83.22
Hospital 153,RI,14715.26,12.99,4.12,87.63
Hospital 154,WI,11013.54,17.23,2.76,92.5
Hospital 155,NY,7873.16,16.17,3.53,78.6
Hospital 156,AR,13752.36,14.7,4.33,81.48
Hospital 157,NJ,12587.04,9.97,3.45,79.89
Hospital 158,OR,16545.05,10.96,3.56,61.26
Hospital 159,MN,8163.3,16.11,1.37,74.3
Hospital 160,RI,18990.08,17.93,2.61,74.35
Hospital 161,VT,15979.29,10.56,5.07,72.89
Hospital 162,IA,11955.19,11.64,3.12,77.59
Hospital 163,TX,11253.41,15.54,5.28,75.81
Hospital 164,NH,10210.48,15.45,2.13,68.14
Hospital 165,OK,12274.33,8.5,3.28,76.49
Hospital 166,IL,11540.16,15.65,2.54,71.61
Hospital 167,NY,13284.49,12.61,3.71,51.81
Hospital 168,CT,11264.08,21.56,4.07,64.03
Hospital 169,MI,15537.41,16,3.72,78.89
Hospital 170,NV,12312.62,16.69,4.25,88.92
Hospital 171,AK,11357.96,16.79,2.98,53.73
Hospital 172,TN,14560.72,10.14,2.77,69.3
Hospital 173,VT,7943.69,22.78,1,82.31
Hospital 174,CO,12852.47,8.51,3.77,86.78
Hospital 175,NV,12063.93,18.18,3.21,73.8
Hospital 176,NV,8472.87,17.47,2.92,71.17
Hospital 177,UT,7728.74,13.09,2.77,90.2
Hospital 178,UT,14525.86,17.67,2.96,85.96
Hospital 179,MD,14406.98,13.73,2.72,86.59
Hospital 180,NJ,12431.4,12.3,2.37,73.32
Hospital 181,HI,16291.64,16.88,3.29,89.14
Hospital 182,NV,13102.42,10.97,3.58,58.55
Hospital 183,MO,15124.51,14.1,2.08,89.31
Hospital 184,RI,13050.81,12.62,2.52,77.33
Hospital 185,NC,11310.48,13.66,2.75,79.29
Hospital 186,AL,9356.17,16.73,3.01,68.55
Hospital 187,NE,10491.41,12.62,2.85,59.86
Hospital 188,IL,11357.19,14.23,3.79,79.08
Hospital 189,SD,15407.88,12.99,1.02,83.51
Hospital 190,AZ,13924.8,20.78,1.23,85.03
Hospital 191,RI,12825.8,16.37,3.23,83.95
Hospital 192,CO,14175.02,15.88,2.28,81.68
Hospital 193,DE,13318.46,17.73,4.06,68.76
Hospital 194,NE,12654.84,12.62,4.4,85.67
Hospital 195,FL,8253.35,18.44,3.28,67.64
Hospital 196,OR,14847.89,16.38,1.71,89.07
Hospital 197,NC,10853.72,8.76,4.27,77.16
Hospital 198,TN,14721.35,9.29,3.24,77.49
Hospital 199,UT,14963.03,12.71,1.22,86.66
Hospital 200,MS,10324.9,9.72,1.32,88.01
Hospital 201,IA,14374.29,14.05,4.82,85.71
Hospital 202,NY,11097.53,10.95,4.62,69.8
Hospital 203,NY,11112.42,14.61,1,85.63
Hospital 204,MS,12643.68,20.65,1.37,69.85
Hospital 205,SD,12711.18,14.8,4.37,85.88
Hospital 206,WI,12096.38,13.79,2.98,63.75
Hospital 207,WI,8664.28,16.55,3.84,77.06
Hospital 208,ID,11696.38,12.21,2.93,69.79
Hospital 209,RI,17696.2,18.37,3.79,86.7
Hospital 210,AK,7000,16.98,3.01,89.15
Hospital 211,AZ,14174.35,15.16,2.47,79.99
Hospital 212,WI,14642.81,15.62,4.27,79.66
Hospital 213,OR,8604.13,23.17,3.24,85.04
Hospital 214,WI,10826.4,18.77,3.78,89.21
Hospital 215,KY,9498.21,23.8,3.19,78.37
Hospital 216,WI,16634.91,17.13,2.42,73
Hospital 217,AK,14757.56,9.11,4.93,84.47
Hospital 218,AK,14878.56,13.95,3.43,59.41
Hospital 219,NV,12301.62,8.2,2.57,87.1
Hospital 220,MN,15280.23,17.11,4.53,70.9
Hospital 221,OR,11979.41,17.98,1.42,75.6
Hospital 222,NY,15397.89,11.46,5.68,87.16
Hospital 223,NC,11628.26,12.38,2.79,73.84
Hospital 224,AL,10301.9,15.6,1.48,84.47
Hospital 225,ME,16527.38,10.21,5.29,89.39
Hospital 226,AK,11947.88,9.91,2.44,79.1
Hospital 227,UT,9753,19.95,3.29,81.11
Hospital 228,MT,9725.92,15.46,3.86,76.81
Hospital 229,NY,9733.55,12.77,4.42,79.16
Hospital 230,CO,14111.11,8.23,3.36,66.84
Hospital 231,NY,11752.84,18.41,2.22,75.06
Hospital 232,AR,17744.9,12.26,3.26,65.12
Hospital 233,HI,14965.45,22.44,2.5,69.01
Hospital 234,KY,12642.85,18.44,3.3,57.97
Hospital 235,PA,15509.74,11.77,4.95,80.64
Hospital 236,MS,10761.23,12.14,3.91,94.92
Hospital 237,CA,7363.04,21.89,3.25,73.44
Hospital 238,ND,9526.04,14.66,3.89,87.65
Hospital 239,CO,12368.02,12.95,3.97,89.26
Hospital 240,MI,11443.65,15.11,1.71,66.01
Hospital 241,HI,14061.04,12.93,3.05,68.16
Hospital 242,WV,11688.47,15.96,6.08,87.91
Hospital 243,KS,13870.09,14.7,4.46,77.08
Hospital 244,NC,15752.43,18.5,2.4,65.09
Hospital 245,FL,11680.76,13.45,2.28,71.63
Hospital 246,CO,13387.86,11.46,2.24,82.2
Hospital 247,KS,7613.03,13.6,4.04,70.06
Hospital 248,NH,11690.27,13.58,4.93,50.25
Hospital 249,AZ,8920.1,14.69,3.7,74.78
Hospital 250,MD,12363.07,17.54,3.19,75.59
Hospital 251,OK,12590,17.32,2.47,78.09
Hospital 252,ME,12581.69,19.8,3.4,90.59
Hospital 253,MT,10799.69,11.75,2.02,78.54
Hospital 254,AZ,17746.17,16.55,1,80.43
Hospital 255,ME,8829.95,17.91,4.96,88.56
Hospital 256,MD,8677.14,12.3,1.79,78.1
Hospital 257,NY,16137.45,14.17,2.61,99.37
Hospital 258,CT,10239.3,8,3.79,65.36
Hospital 259,SD,9638.27,18.63,4.72,68.66
Hospital 260,NC,17757.28,14.14,3.31,84.14
Hospital 261,SC,14464.31,18.23,1.57,90.54
Hospital 262,RI,10513.84,15.82,2.64,75.99
Hospital 263,LA,12543.77,14.26,2.19,67.89
Hospital 264,SC,16864.68,8.63,2.95,95.61
Hospital 265,AL,13729.05,9.34,4.48,70.08
Hospital 266,HI,15215.37,5,1,81.39
Hospital 267,NV,14012.01,12.75,2.51,91.14
Hospital 268,MO,14325.63,24.11,2.42,73.58
Hospital 269,WY,12099.35,9.85,1.49,71.78
Hospital 270,MN,12028.37,5,3.7,72.46
Hospital 271,NM,12667.63,18.85,1.3,87.02
Hospital 272,NJ,13836.13,24.45,1.44,88.6
Hospital 273,TN,11291.71,16.19,4.02,78.34
Hospital 274,OH,12305.13,16.15,4.8,96.83
Hospital 275,CT,11224.14,13.76,2.91,78.32
Hospital 276,KS,12289.21,7.82,1.54,90.92
Hospital 277,MT,8872.51,9.2,2.15,73.68
Hospital 278,WV,18514.94,13.73,4.21,100
Hospital 279,WI,10167.65,12.97,3.14,93.7
Hospital 280,AK,11096.35,14.54,2.88,76.72
Hospital 281,AL,9951.84,18.32,3.38,92.35
Hospital 282,WV,13539.27,12.67,2.95,91.84
Hospital 283,ID,11509.99,18.4,4.85,93.53
Hospital 284,CA,9590.48,12.7,2.1,53.18
Hospital 285,OR,13642.21,19.15,1.96,85.19
Hospital 286,NY,13979.12,15.35,1.34,83.42
Hospital 287,FL,11832.81,13.26,2.35,82.71
Hospital 288,SD,10340.94,15.28,1.69,80.18
Hospital 289,OH,17477.67,13.83,3.26,80.48
Hospital 290,ME,12850.17,15.45,3.03,90.83
Hospital 291,WV,8814.83,18.03,1.71,83.39
Hospital 292,KS,15535.1,14.65,3.71,80.17
Hospital 293,AZ,9860.56,13.52,4.82,89.39
Hospital 294,MD,18854.7,10.51,3.43,82.18
Hospital 295,MS,12199.14,17.32,1,83.14
Hospital 296,NC,14533.29,16.39,5.38,96.67
Hospital 297,MS,7000,10.27,3.9,73.66
Hospital 298,HI,8789.65,18.34,5.35,62.84
Hospital 299,WI,15334.65,10.21,4.31,78.72
Hospital 300,DE,12794.54,19.12,4.55,80.15
Hospital 301,OK,17105.99,17.75,3.25,85.22
Hospital 302,PA,13212.94,16.68,2.69,79.07
Hospital 303,SC,12363.24,13.49,3.45,85.55
Hospital 304,MD,16283.93,17.3,2.15,100
Hospital 305,OH,14525.34,19.31,3.52,86.02
Hospital 306,WV,11509.35,17.37,1,87.77
Hospital 307,MO,9264.74,12.32,3.05,76.7
Hospital 308,OH,7000,16.07,4.61,64.15
Hospital 309,MO,10905.84,19.53,3.11,55.02
Hospital 310,NH,9034.16,23.8,5.07,72.81
Hospital 311,LA,18494.26,14.18,2.68,52.2
Hospital 312,VA,10374.07,18.43,4.2,83.14
Hospital 313,LA,10305.73,19.54,1.95,74.17
Hospital 314,AK,8196.89,11.75,4.15,64.87
Hospital 315,OH,11334.21,22.13,3.28,79.31
Hospital 316,KS,10338.66,10.74,2.74,70.61
Hospital 317,SD,16344.32,18.24,1,82.51
Hospital 318,OK,12421.19,16.22,2.69,85.08
Hospital 319,NC,11977.84,15.22,3.26,70.98
Hospital 320,AR,11663.32,25,3.99,75.63
Hospital 321,NC,13965.44,13.79,4.87,80.15
Hospital 322,IN,10869.18,13.73,5.44,63.93
Hospital 323,MA,13668.02,20.33,4.5,80.15
Hospital 324,WV,16034.92,18.05,2.33,63.69
Hospital 325,MD,13150.19,20.13,2.63,83.66
Hospital 326,DE,11375.67,15.47,3.89,73.65
Hospital 327,CT,9616.35,16.27,3.62,63.63
Hospital 328,AZ,11312.19,22.6,4.95,72.2
Hospital 329,KY,13407.7,11.66,5.98,72.62
Hospital 330,NC,8168.68,14.59,5.72,88.69
Hospital 331,WV,14078.86,18.19,4.79,79.73
Hospital 332,ID,12519.03,14.22,3.63,68.44
Hospital 333,MI,11627.03,12.72,4.62,94.49
Hospital 334,MI,10351.47,17.47,4.99,84.26
Hospital 335,VA,10809.06,20.34,2.82,74.64
Hospital 336,NJ,13493.27,14.44,2.36,62.46
Hospital 337,PA,11679.47,14.33,2.08,73.75
Hospital 338,PA,10747.15,12.41,1.95,75.79
Hospital 339,VT,13171.41,13.82,1.34,81.69
Hospital 340,DE,13270.47,19.33,3.3,84.07
Hospital 341,NE,8877.06,15.32,1.8,86.07
Hospital 342,NE,13428.7,11.78,2.06,61.89
Hospital 343,ND,18254.25,16.05,3.84,80.09
Hospital 344,MA,13174.05,19.2,3.22,76.4
Hospital 345,NJ,7752.48,12.75,3.52,100
Hospital 346,NC,12443.44,9.69,4.64,78.65
Hospital 347,NV,7422.96,23.76,4.04,71.77
Hospital 348,WA,19918.43,9.49,4.82,79.1
Hospital 349,NC,17589.19,13.56,3.1,77.91
Hospital 350,CA,10335.15,15.93,4.93,58.11
Hospital 351,WV,7000,13.91,3.43,82.08
Hospital 352,ME,9804.07,14.7,3.2,74.89
Hospital 353,AR,11547.52,17.31,4.75,77.73
Hospital 354,OH,7595.34,5.43,1.95,69.26
Hospital 355,WI,11827.44,9.93,5.43,67.06
Hospital 356,KY,11531.05,15.18,2.66,86.79
Hospital 357,UT,12312.89,13.38,1.54,89.08
Hospital 358,NV,12574.11,15.52,3.78,82.18
Hospital 359,NJ,9585.96,15.91,2.55,59.89
Hospital 360,NH,9866.46,6.54,5.43,82.83
Hospital 361,VA,12113.98,20.09,2.48,60.04
Hospital 362,CO,10422.52,13.01,3.38,71.39
Hospital 363,OH,14268.74,11.54,1.29,86.66
Hospital 364,SD,12089.74,15.83,3.98,84.58
Hospital 365,OR,16662.51,15.43,2.07,82.57
Hospital 366,MS,14051.21,19.79,3.83,91.13
Hospital 367,NH,14759.28,16.09,2.49,83.6
Hospital 368,WI,12331.42,19.63,1,57.81
Hospital 369,VA,12393.4,11.25,3.16,74.3
Hospital 370,NM,16328.3,15.57,3.1,77.58
Hospital 371,OH,11054.27,10.54,4.06,76.41
Hospital 372,NC,13366.95,15.39,4.87,71.83
Hospital 373,MA,11334.41,14.54,5.29,67.7
Hospital 374,NY,11328.41,14.37,4.04,100
Hospital 375,MN,9077.76,14.41,3.33,74.11
Hospital 376,NC,10143.71,17.95,1.29,100
Hospital 377,AZ,9679.33,8.57,3.24,66.59
Hospital 378,LA,13485.92,11.4,3.26,84.57
Hospital 379,MO,14600.51,14.84,2.76,80.3
Hospital 380,TN,11763.12,10.29,3.76,68.78
Hospital 381,NM,12574.07,15.18,4.35,73.32
Hospital 382,AZ,11618.82,14.8,2.02,77.85
Hospital 383,SC,9973.06,9.38,2,69.56
Hospital 384,VA,14155.66,9.19,2.83,75.44
Hospital 385,MS,13631.34,5,2.26,54.35
Hospital 386,WY,7268.64,10.12,1.03,85.12
Hospital 387,NY,11292.23,15.06,1.8,90.27
Hospital 388,WA,9794.93,15.62,1.52,82.54
Hospital 389,MI,11022.65,15.81,4.45,100
Hospital 390,MN,10323.92,11.89,5.04,84.82
Hospital 391,AK,11883.95,14.93,1.69,89.43
Hospital 392,NE,11175.21,16.59,3.66,90.38
Hospital 393,TN,11122.15,9.93,4.05,50.49
Hospital 394,AK,14768.47,15.49,1.21,82.24
Hospital 395,MT,13392.95,17.63,3.19,64.17
Hospital 396,KY,10240.26,13.04,6.04,66.19
Hospital 397,SC,10611.13,19.25,3.81,67.93
Hospital 398,NC,13229.48,13.13,2.71,74.87
Hospital 399,FL,13226.05,11.56,2.33,84.5
Hospital 400,TX,10490.55,17.23,1,82.34
Hospital 401,WV,11415.02,23.13,3.56,77.87
Hospital 402,RI,16617.02,15.34,5.34,85.23
Hospital 403,NH,10533.63,17.54,2.02,85.83
Hospital 404,TN,16777.01,12.97,1,82.43
Hospital 405,MT,14759.17,10.03,2.2,60.75
Hospital 406,OH,16313.54,15.67,4.06,70.61
Hospital 407,WY,10427.32,16.3,2.49,78.26
Hospital 408,MO,11578.61,13.57,2.02,85.33
Hospital 409,MS,10877.09,17.52,3.02,64.71
Hospital 410,IL,14816.88,12.38,3.28,77.89
Hospital 411,CT,10580.79,11.39,1.33,62.34
Hospital 412,OK,13828.04,19.24,2.74,88.26
Hospital 413,VT,13695.75,19.26,2.4,80.42
Hospital 414,MD,11879.93,12.46,2.23,64.54
Hospital 415,AL,15246.65,21.88,1.78,64.47
Hospital 416,DE,12269.2,13.85,4.13,81.87
Hospital 417,VA,14085.21,15.34,2.23,91.75
Hospital 418,KS,10763.24,14.66,1,67.03
Hospital 419,IN,10191.41,17.1,3.32,85.87
Hospital 420,ID,13827.86,16.09,3.87,72.58
Hospital 421,MN,13077.1,16.03,2.04,86.23
Hospital 422,IA,12608.27,10.92,2.33,84.83
Hospital 423,NV,11140.78,8.25,2.22,79.55
Hospital 424,ND,15873.02,19.57,2.58,59.66
Hospital 425,AK,9208.54,12.82,4.33,84.81
Hospital 426,NY,9071.64,14.8,2.86,83.02
Hospital 427,MN,14355.42,16.31,4.01,82.1
Hospital 428,MI,14150.24,21.52,1.84,79.96
Hospital 429,MO,12884.41,15.65,2.54,69.21
Hospital 430,MI,11280.12,13.42,4.14,88.83
Hospital 431,MI,13256.06,12.91,2.03,86.98
Hospital 432,WI,16302.08,14.85,4.21,67.25
Hospital 433,TN,18288.87,11.36,2.25,91.14
Hospital 434,CO,7858.97,15.12,2.61,79.32
Hospital 435,IA,10952.7,14.79,5,79.29
Hospital 436,TX,10795.57,21.57,2.48,76.24
Hospital 437,OR,16066.3,14.67,3.17,77.22
Hospital 438,NC,7000,7.3,3.74,91.71
Hospital 439,DE,13284.59,25,3.27,88.33
Hospital 440,UT,11357.97,18.83,3.31,88.12
Hospital 441,UT,16095.28,23.33,2.93,79.85
Hospital 442,CA,15752.6,10.37,1.44,86.89
Hospital 443,RI,12913.77,14.11,3.42,69.66
Hospital 444,AR,8050.69,17.7,2.12,83.83
Hospital 445,CO,10565.28,17.15,3.93,76.47
Hospital 446,VT,10839.02,16.23,4.65,57.4
Hospital 447,NY,8683.86,6.2,1,62.14
Hospital 448,NJ,14886.46,8.15,4.65,71.37
Hospital 449,WA,8366.43,21.07,2.51,82.15
Hospital 450,OH,16913.32,21.78,2.84,71.38
Hospital 451,SC,16907.06,14.57,1.91,72.09
Hospital 452,KS,11037.35,20.56,3.23,85.63
Hospital 453,IL,12821.24,10.91,3.08,72.45
Hospital 454,WY,11819.29,11.82,4.29,91.31
Hospital 455,TN,14254.56,10.59,2.11,89.65
Hospital 456,NJ,15186.69,11.6,4.99,78.22
Hospital 457,ME,12644.99,17.89,3.8,85.53
Hospital 458,KY,13172.79,11.55,3.11,84.17
Hospital 459,ME,10448.49,23.96,2.78,75.54
Hospital 460,NV,13091.78,16.84,2.63,86.62
Hospital 461,MT,12406.91,19.34,2.71,88.09
Hospital 462,OR,9720.51,16.96,3.2,68.48
Hospital 463,MT,11964.91,19.86,2.75,79.54
Hospital 464,MN,11042.04,11.53,2.23,79.43
Hospital 465,FL,10476.26,20.79,3.21,86.5
Hospital 466,ID,9133.77,15.56,2,73.56
Hospital 467,AL,12156.26,19.84,3.39,72.02
Hospital 468,AL,10048.81,9.24,2.73,79.69
Hospital 469,WA,10822.23,15.72,3.84,89.81
Hospital 470,ND,14687.81,15.58,4.19,66.01
Hospital 471,NY,13580.29,12.52,4.19,67.75
Hospital 472,WV,9553.08,16.25,3.38,72.79
Hospital 473,MO,12879.73,21.16,3.52,74.57
Hospital 474,SC,12331.95,12.22,2.61,60.34
Hospital 475,VT,16254.24,18.85,3.81,92.98
Hospital 476,AL,15457.86,10.49,3.95,76.7
Hospital 477,KS,8165.63,23.44,1.12,75.2
Hospital 478,RI,14152.82,18.14,3.45,94.23
Hospital 479,CA,15162.99,21.9,4.64,85.18
Hospital 480,MI,13398.4,17.69,2.57,72.65
Hospital 481,NH,11161.47,16.56,2.31,79.65
Hospital 482,AZ,18033.48,18.17,2.5,77.58
Hospital 483,ID,13628.52,14.45,1.19,92.48
Hospital 484,MT,16941.36,8.53,3.15,76.33
Hospital 485,KS,15378.7,16.79,3.04,63.58
Hospital 486,OR,13160.34,11.98,3.24,59.23
Hospital 487,MI,10550.75,10.59,3.5,92.75
Hospital 488,NH,11939.74,17.55,2.04,70.11
Hospital 489,IN,11445.22,13.88,3.33,84.7
Hospital 490,NV,8963.7,19.11,3.53,78.72
Hospital 491,CA,13625.7,11.84,2.41,73.83
Hospital 492,WA,15918.38,13.12,3.5,75.4
Hospital 493,WI,11254.24,19.6,3.1,93.83
Hospital 494,NJ,17409.14,16.12,2.24,63.52
Hospital 495,VA,8106.04,9.09,3.34,74.14
Hospital 496,CA,14635.91,16.03,2.65,87.07
Hospital 497,ID,16178.8,20.92,3.84,65.17
Hospital 498,KS,11489.92,13.09,2.71,91.17
Hospital 499,MT,11534.86,17.39,1.45,86.92
Hospital 500,MT,14606.91,11.6,3.32,80.72
Hospital 501,WV,13264.98,14.45,3.28,72.97
Hospital 502,MA,7006.47,19.36,1.7,63.88
Hospital 503,RI,9891.57,15.88,3.9,85.07
Hospital 504,OK,11966.13,20.16,3.84,100
Hospital 505,NC,8575.75,16.7,1.96,79.46
Hospital 506,NJ,10814.56,23.87,2.21,59.74
Hospital 507,OR,8638.29,8.74,2.83,82.58
Hospital 508,MN,11074.57,14.13,2.09,86.6
Hospital 509,GA,11158.44,10.66,3.77,68.82
Hospital 510,CA,12879.39,10.94,3.18,71.54
Hospital 511,OK,11770.6,10.97,1.69,70.53
Hospital 512,ND,13256.97,15.67,2.01,72.69
Hospital 513,NM,12958.86,15.91,4.43,76.28
Hospital 514,GA,14578.35,16.71,4.84,69.39
Hospital 515,ME,14184.46,10.51,3.65,65.64
Hospital 516,NY,13920.31,13.7,2.75,79.74
Hospital 517,AL,19762.17,11.14,2.47,76.17
Hospital 518,CA,12868.51,18.74,3.66,73.64
